File,aid,Date,(0) Water Bodies,(1) Evergreen Needleleaf Forests,(5) Mixed Forests,(7) Open Shrublands,(8) Woody Savannas,(9) Savannas,(10) Grasslands,(11) Permanent Wetlands,(12) Croplands,(14) Cropland/Natural Vegetation Mosaic,(15) Permanent Snow and Ice
Soil_Moisture_Retrieval_Data_AM_landcover_class_2017254_aid0001,aid0001,9/11/17,799,870,153,1666,524,42,756,13,63,14,123
Soil_Moisture_Retrieval_Data_AM_landcover_class_2017255_aid0001,aid0001,9/12/17,647,633,171,1154,296,33,679,21,61,21,109
Soil_Moisture_Retrieval_Data_AM_landcover_class_2017256_aid0001,aid0001,9/13/17,783,865,221,1652,539,34,725,22,71,20,118
Soil_Moisture_Retrieval_Data_AM_landcover_class_2017257_aid0001,aid0001,9/14/17,779,782,114,1672,557,40,755,1,66,15,114
Soil_Moisture_Retrieval_Data_AM_landcover_class_2017258_aid0001,aid0001,9/15/17,802,695,213,1645,558,29,758,21,54,24,134
Soil_Moisture_Retrieval_Data_AM_landcover_class_2017259_aid0001,aid0001,9/16/17,789,896,203,1639,515,41,751,22,61,13,128
Soil_Moisture_Retrieval_Data_AM_landcover_class_2017260_aid0001,aid0001,9/17/17,736,693,129,1691,569,36,753,5,60,22,115
Soil_Moisture_Retrieval_Data_AM_landcover_class_2017261_aid0001,aid0001,9/18/17,551,746,217,707,85,29,572,22,63,21,57
Soil_Moisture_Retrieval_Data_AM_landcover_class_2017262_aid0001,aid0001,9/19/17,649,355,68,1202,395,27,544,13,49,14,95
Soil_Moisture_Retrieval_Data_AM_landcover_class_2017263_aid0001,aid0001,9/20/17,772,646,173,1644,560,32,766,21,61,21,128
Soil_Moisture_Retrieval_Data_AM_landcover_class_2017264_aid0001,aid0001,9/21/17,783,866,221,1653,538,34,725,22,70,20,118
Soil_Moisture_Retrieval_Data_AM_landcover_class_2017265_aid0001,aid0001,9/22/17,778,782,115,1672,557,40,755,1,66,15,115
Soil_Moisture_Retrieval_Data_AM_landcover_class_2017266_aid0001,aid0001,9/23/17,802,695,213,1646,559,29,758,21,54,24,134
Soil_Moisture_Retrieval_Data_AM_landcover_class_2017267_aid0001,aid0001,9/24/17,626,321,59,1184,411,27,531,22,45,13,109
Soil_Moisture_Retrieval_Data_AM_landcover_class_2017268_aid0001,aid0001,9/25/17,736,693,129,1692,569,36,753,5,60,22,114
Soil_Moisture_Retrieval_Data_AM_landcover_class_2017269_aid0001,aid0001,9/26/17,791,795,218,1658,550,32,746,22,63,21,130
Soil_Moisture_Retrieval_Data_AM_landcover_class_2017270_aid0001,aid0001,9/27/17,655,368,89,1205,404,27,545,13,53,14,97
Soil_Moisture_Retrieval_Data_AM_landcover_class_2017271_aid0001,aid0001,9/28/17,772,646,173,1644,560,32,766,21,61,21,128
Soil_Moisture_Retrieval_Data_AM_landcover_class_2017272_aid0001,aid0001,9/29/17,782,863,221,1651,538,34,725,22,70,20,118
Soil_Moisture_Retrieval_Data_AM_landcover_class_2017273_aid0001,aid0001,9/30/17,779,781,113,1673,555,40,756,1,66,15,114
Soil_Moisture_Retrieval_Data_AM_landcover_class_2017274_aid0001,aid0001,10/1/17,802,694,213,1645,559,29,758,21,54,24,134
Soil_Moisture_Retrieval_Data_AM_landcover_class_2017275_aid0001,aid0001,10/2/17,790,898,201,1640,516,41,751,22,61,13,129
Soil_Moisture_Retrieval_Data_AM_landcover_class_2017276_aid0001,aid0001,10/3/17,737,693,129,1690,568,36,753,5,60,22,114
Soil_Moisture_Retrieval_Data_AM_landcover_class_2017277_aid0001,aid0001,10/4/17,790,793,219,1655,549,32,746,22,63,21,130
Soil_Moisture_Retrieval_Data_AM_landcover_class_2017278_aid0001,aid0001,10/5/17,799,868,151,1665,523,42,756,13,63,14,123
Soil_Moisture_Retrieval_Data_AM_landcover_class_2017279_aid0001,aid0001,10/6/17,772,645,173,1643,559,33,766,21,61,21,128
Soil_Moisture_Retrieval_Data_AM_landcover_class_2017280_aid0001,aid0001,10/7/17,783,866,221,1650,539,34,725,22,70,20,118
Soil_Moisture_Retrieval_Data_AM_landcover_class_2017281_aid0001,aid0001,10/8/17,780,781,113,1671,556,40,755,1,66,15,114
Soil_Moisture_Retrieval_Data_AM_landcover_class_2017282_aid0001,aid0001,10/9/17,802,693,213,1646,559,29,758,21,53,24,134
Soil_Moisture_Retrieval_Data_AM_landcover_class_2017283_aid0001,aid0001,10/10/17,790,896,203,1640,516,41,751,22,61,13,128
Soil_Moisture_Retrieval_Data_AM_landcover_class_2017284_aid0001,aid0001,10/11/17,726,694,130,1689,569,35,741,5,61,22,114
Soil_Moisture_Retrieval_Data_AM_landcover_class_2017285_aid0001,aid0001,10/12/17,791,794,218,1655,550,32,746,22,63,21,130
Soil_Moisture_Retrieval_Data_AM_landcover_class_2017286_aid0001,aid0001,10/13/17,799,867,151,1665,523,42,756,13,63,14,123
Soil_Moisture_Retrieval_Data_AM_landcover_class_2017287_aid0001,aid0001,10/14/17,772,643,172,1644,559,33,765,21,61,20,128
Soil_Moisture_Retrieval_Data_AM_landcover_class_2017288_aid0001,aid0001,10/15/17,783,866,221,1650,538,34,725,22,71,20,118
Soil_Moisture_Retrieval_Data_AM_landcover_class_2017289_aid0001,aid0001,10/16/17,778,781,113,1672,557,40,755,1,66,15,114
